subject,n_sizes,size_mu_hat,size_tail_ok,size_tail_reason,size_xmin,size_ks,size_p_boot,n_durations,duration_mean,duration_std,duration_p99
S001,25,1.3773654662184802,True,ok,0.0006523673626259869,0.28450958949567606,0.005,31,5.258064516129032,4.731280546399769,17.099999999999998
S002,30,1.404344778778229,True,ok,0.0008175339723623745,0.3551188935219104,0.0,38,5.184210526315789,4.593217328775428,18.04000000000002
S003,17,1.6754716231965068,True,ok,0.0032624976112563724,0.18099861953252117,0.235,29,3.6206896551724137,3.4781464852204835,13.159999999999997
S004,14,1.5362407864553262,True,ok,0.0018813617296775797,0.20121819364292187,0.175,25,3.36,3.005062395358872,10.519999999999996
S005,46,1.1625336611582047,True,ok,1.3146560601552714e-05,0.3969641677502881,0.0,53,7.226415094339623,5.275938651831101,18.479999999999997
S006,19,1.5689097332349844,True,ok,0.0019609085564710384,0.2633534035089267,0.01,26,6.923076923076923,6.281370973105724,22.25
S007,37,1.2869883482036522,True,ok,0.00010468177789712608,0.29571323776581915,0.0,52,5.230769230769231,5.315490369648175,20.980000000000004
S008,21,1.5453367327238112,True,ok,0.0024940719002126814,0.20487749166901514,0.05,33,3.242424242424242,2.7527430179820036,11.399999999999999
S009,32,1.3035408452338422,True,ok,0.000135183309982817,0.38831352398781627,0.0,40,3.875,2.5998798049140657,11.219999999999999
S010,20,1.6286742492789685,True,ok,0.0010808337699562101,0.22540227025096637,0.02,30,3.6666666666666665,2.72437556556034,10.840000000000003
S011,27,1.7004596726679182,True,ok,0.002235200687369071,0.17855438700510684,0.085,36,5.333333333333333,5.622375931144334,25.349999999999973
S012,39,1.298613164351723,True,ok,0.0006231269544269237,0.34677622274744807,0.0,49,5.326530612244898,4.176649155415168,16.519999999999996
S013,49,1.2351447705448932,True,ok,0.0003628742341222932,0.2835895837670237,0.0,64,6.171875,4.919840849496556,17.0
S014,30,1.3764139407668465,True,ok,0.0004199165034155991,0.23072424207146214,0.025,39,4.743589743589744,3.881038380203518,14.619999999999997
